Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD, Sales_Volume ,Sales_Classification,,,,
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,"8,300.00",High,,,,
i8,2013,North America,Red,Hybrid,Automatic,1.6,151748,79219,"3,428.00",Low,,,,
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,151748,113265,"6,994.00",Low,,,,
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,151748,60971,"4,047.00",Low,,,,Avg_Millage
7 Series,2020,South America,Black,Diesel,Manual,2.1,151748,49898,"3,080.00",Low,,,,100326.3978
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,151748,42926,"1,232.00",Low,,,,
i8,2022,Europe,White,Diesel,Manual,1.8,151748,55064,"7,949.00",High,,,,
M5,2014,Asia,Black,Diesel,Automatic,1.6,151748,102778,632,Low,,,,
X3,2016,South America,White,Diesel,Automatic,1.7,151748,116482,"8,944.00",High,,,,
i8,2019,Europe,White,Electric,Manual,3,151748,96257,"4,411.00",Low,,,,
3 Series,2012,Middle East,White,Electric,Manual,2.4,151748,117995,500,Low,,,,
i8,2016,North America,Blue,Hybrid,Manual,1.9,151748,74539,"8,252.00",High,,,,
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,151748,100015,"8,111.00",High,,,,
5 Series,2020,Africa,White,Electric,Manual,2.3,151748,119486,"4,668.00",Low,,,,
X1,2017,Asia,Black,Electric,Automatic,1.6,151748,34078,"7,291.00",High,,,,
M3,2014,North America,Silver,Hybrid,Manual,3,151748,94997,"7,765.00",High,,,,
X5,2013,Asia,Blue,Electric,Manual,2.6,151748,114844,"5,561.00",Low,,,,
M5,2017,North America,Red,Diesel,Automatic,2.6,151748,81934,"9,755.00",High,,,,
5 Series,2017,North America,Silver,Electric,Manual,3.1,151748,111326,"4,880.00",Low,,,,
X5,2012,Africa,Blue,Electric,Manual,3.8,151748,82677,"7,104.00",High,,,,
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,"8,635.00",High,,,,
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,"1,113.00",Low,,,,
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,"9,383.00",High,,,,
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,"7,521.00",High,,,,
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,"6,273.00",Low,,,,
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,"4,645.00",Low,,,,
M3,2015,Asia,Red,Hybrid,Manual,2,41514,116902,"8,897.00",High,,,,
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,"6,481.00",Low,,,,
M5,2021,Asia,Red,Hybrid,Automatic,3,105162,32076,"9,469.00",High,,,,
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,"1,440.00",Low,,,,
i8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,"5,006.00",Low,,,,
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low,,,,
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,"4,091.00",Low,,,,
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,"3,384.00",Low,,,,
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,"4,926.00",Low,,,,
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,"4,561.00",Low,,,,
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,"8,046.00",High,,,,
i8,2010,Middle East,Grey,Petrol,Automatic,4,98514,37949,"2,278.00",Low,,,,
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,"3,929.00",Low,,,,
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,"7,110.00",High,,,,
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low,,,,
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,"5,946.00",Low,,,,
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,"2,913.00",Low,,,,
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,"7,627.00",High,,,,
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,"2,155.00",Low,,,,
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,"7,168.00",High,,,,
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,"8,283.00",High,,,,
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low,,,,
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,"7,933.00",High,,,,
i3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,"8,438.00",High,,,,
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,"6,782.00",Low,,,,
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,"3,153.00",Low,,,,
i8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,"5,887.00",Low,,,,
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low,,,,
i8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,"3,291.00",Low,,,,
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,"3,754.00",Low,,,,
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,"4,125.00",Low,,,,
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,"9,762.00",High,,,,
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,"9,390.00",High,,,,
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,"3,293.00",Low,,,,
M3,2016,South America,Grey,Electric,Automatic,3,102675,93915,"9,470.00",High,,,,
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,"5,425.00",Low,,,,
i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low,,,,
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,"4,935.00",Low,,,,
